ACC=0.685289, f1_macro=0.690947, precision_macro=0.696378, recall_macro=0.692168, f1_micro=0.685289, precision_micro=0.685289, recall_micro=0.685289, NMI=0.455638, ADJ_RAND_SCORE=0.416885
ACC=0.681322, f1_macro=0.687234, precision_macro=0.692497, recall_macro=0.688175, f1_micro=0.681322, precision_micro=0.681322, recall_micro=0.681322, NMI=0.449658, ADJ_RAND_SCORE=0.411652
ACC=0.681983, f1_macro=0.687535, precision_macro=0.692871, recall_macro=0.688807, f1_micro=0.681983, precision_micro=0.681983, recall_micro=0.681983, NMI=0.444856, ADJ_RAND_SCORE=0.409056
ACC=0.681983, f1_macro=0.687535, precision_macro=0.692871, recall_macro=0.688807, f1_micro=0.681983, precision_micro=0.681983, recall_micro=0.681983, NMI=0.444856, ADJ_RAND_SCORE=0.409056
ACC=0.680661, f1_macro=0.686456, precision_macro=0.691654, recall_macro=0.687485, f1_micro=0.680661, precision_micro=0.680661, recall_micro=0.680661, NMI=0.446091, ADJ_RAND_SCORE=0.409237
ACC=0.680661, f1_macro=0.686456, precision_macro=0.691654, recall_macro=0.687485, f1_micro=0.680661, precision_micro=0.680661, recall_micro=0.680661, NMI=0.446091, ADJ_RAND_SCORE=0.409237
ACC=0.665124, f1_macro=0.673611, precision_macro=0.681776, recall_macro=0.671230, f1_micro=0.665124, precision_micro=0.665124, recall_micro=0.665124, NMI=0.417469, ADJ_RAND_SCORE=0.374659
ACC=0.698843, f1_macro=0.691521, precision_macro=0.725237, recall_macro=0.708426, f1_micro=0.698843, precision_micro=0.698843, recall_micro=0.698843, NMI=0.482426, ADJ_RAND_SCORE=0.448164
ACC=0.683306, f1_macro=0.688662, precision_macro=0.693718, recall_macro=0.690248, f1_micro=0.683306, precision_micro=0.683306, recall_micro=0.683306, NMI=0.453463, ADJ_RAND_SCORE=0.415886
ACC=0.692562, f1_macro=0.697370, precision_macro=0.704102, recall_macro=0.699559, f1_micro=0.692562, precision_micro=0.692562, recall_micro=0.692562, NMI=0.456753, ADJ_RAND_SCORE=0.422125
ACC=0.691240, f1_macro=0.696197, precision_macro=0.702546, recall_macro=0.698217, f1_micro=0.691240, precision_micro=0.691240, recall_micro=0.691240, NMI=0.456469, ADJ_RAND_SCORE=0.421526
ACC=0.690248, f1_macro=0.694768, precision_macro=0.700601, recall_macro=0.697196, f1_micro=0.690248, precision_micro=0.690248, recall_micro=0.690248, NMI=0.450714, ADJ_RAND_SCORE=0.418491
ACC=0.690248, f1_macro=0.694768, precision_macro=0.700601, recall_macro=0.697196, f1_micro=0.690248, precision_micro=0.690248, recall_micro=0.690248, NMI=0.450714, ADJ_RAND_SCORE=0.418491
ACC=0.691901, f1_macro=0.696464, precision_macro=0.702574, recall_macro=0.698877, f1_micro=0.691901, precision_micro=0.691901, recall_micro=0.691901, NMI=0.454078, ADJ_RAND_SCORE=0.421069
